date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-25,California,State,Epsilon,51.0,59.3,142.71428571428,56.890660592255
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.0569476082
2021-01-25,California,State,Total,86.0,100.0,250.85714285714,100.0
2021-01-25,California,State,Omicron,0.0,0.0,0.57142857142,0.227790432802
2021-01-25,California,State,Alpha,4.0,4.65,12.85714285714,5.125284738041
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Epsilon,348.0,60.52,96.14285714285,59.982174688057
2021-01-26,California,State,Omicron,0.0,0.0,0.14285714285,0.089126559715
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Total,575.0,100.0,160.28571428571,100.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Delta,1.0,0.17,0.57142857142,0.356506238859
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.130124777184
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.089126559715
2021-01-26,California,State,Other,217.0,37.74,51.85714285714,32.352941176471
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Alpha,12.0,1.7,11.0,4.870335230867
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,707.0,100.0,225.85714285714,100.0
2021-01-27,California,State,Other,229.0,32.39,73.71428571428,32.637571157495
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.253004427577
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,465.0,65.77,140.57142857142,62.239089184061
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085070182901
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127605274351
2021-01-28,California,State,Alpha,26.0,3.02,10.85714285714,3.232666950234
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Total,860.0,100.0,335.85714285714,100.0
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Epsilon,527.0,61.28,209.57142857142,62.398979157805
2021-01-28,California,State,Other,300.0,34.88,114.0,33.943002977456
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-28,California,State,Delta,2.0,0.23,0.71428571428,0.212675457252
2021-01-29,California,State,Other,51.0,24.29,119.57142857142,33.320063694268
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199044585987
2021-01-29,California,State,Epsilon,146.0,69.52,226.28571428571,63.057324840764
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079617834395
2021-01-29,California,State,Delta,1.0,0.48,0.71428571428,0.199044585987
2021-01-29,California,State,Alpha,10.0,4.76,11.28571428571,3.144904458599
2021-01-29,California,State,Total,210.0,100.0,358.85714285714,100.0
